iShares Core S&P Total U.S. Stock Market ETF
Fund Holdings as of,"Apr 29, 2020"
Inception Date,"Jan 20, 2004"
Shares Outstanding,"366,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"DNKN","DUNKIN BRANDS GROUP INC","Equity","0.02","64.69","65,640.00","4,246,251.60","4,246,251.60","Consumer Discretionary","B3LHT03","US2655041000","NASDAQ"
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.02","31.00","136,825.00","4,241,575.00","4,241,575.00","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.02","58.40","72,541.00","4,236,394.40","4,236,394.40","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"DVN","DEVON ENERGY CORP","Equity","0.02","12.63","334,723.00","4,227,551.49","4,227,551.49","Energy","2480677","US25179M1036","New York Stock Exchange Inc."
"HDS","HD SUPPLY HOLDINGS INC","Equity","0.02","30.00","140,097.00","4,203,610.48","4,203,610.48","Industrials","BBL5981","US40416M1053","NASDAQ"
"BEN","FRANKLIN RESOURCES INC","Equity","0.02","18.49","227,215.00","4,201,205.35","4,201,205.35","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"HTA","HEALTHCARE TRUST OF AMERICA REIT I","Equity","0.02","24.91","167,612.00","4,175,214.92","4,175,214.92","Real Estate","BT9QF28","US42225P5017","New York Stock Exchange Inc."
"DXC","DXC TECHNOLOGY","Equity","0.02","18.82","220,346.00","4,146,911.72","4,146,911.72","Information Technology","BYXD7B3","US23355L1061","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","0.02","92.80","44,620.00","4,140,736.00","4,140,736.00","Industrials","2144047","US5893781089","NASDAQ"
"SON","SONOCO PRODUCTS","Equity","0.02","50.61","81,708.00","4,135,241.88","4,135,241.88","Materials","2821395","US8354951027","New York Stock Exchange Inc."
"MDU","MDU RESOURCES GROUP INC","Equity","0.02","23.68","174,315.00","4,127,779.20","4,127,779.20","Utilities","2547323","US5526901096","New York Stock Exchange Inc."
"ALV","AUTOLIV INC","Equity","0.02","61.89","66,633.00","4,123,916.37","4,123,916.37","Consumer Discretionary","2064253","US0528001094","New York Stock Exchange Inc."
"QDEL","QUIDEL CORP","Equity","0.02","139.70","29,474.00","4,117,517.80","4,117,517.80","Health Care","2717591","US74838J1016","NASDAQ"
"HFC","HOLLYFRONTIER CORP","Equity","0.02","33.63","122,063.00","4,104,978.69","4,104,978.69","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.02","92.66","44,233.00","4,098,629.78","4,098,629.78","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"CACC","CREDIT ACCEPTANCE CORP","Equity","0.02","335.23","12,223.00","4,097,516.29","4,097,516.29","Financials","2232050","US2253101016","NASDAQ"
"FR","FIRST INDUSTRIAL REALTY TRUST INC","Equity","0.02","38.36","106,817.00","4,097,500.12","4,097,500.12","Real Estate","2360757","US32054K1034","New York Stock Exchange Inc."
"COR","CORESITE REALTY REIT CORP","Equity","0.02","124.50","32,847.00","4,089,451.50","4,089,451.50","Real Estate","B3T3VV8","US21870Q1058","New York Stock Exchange Inc."
"CHGG","CHEGG INC","Equity","0.02","42.02","97,023.00","4,076,906.46","4,076,906.46","Consumer Discretionary","BG6N6K6","US1630921096","New York Stock Exchange Inc."
"NLSN","NIELSEN HOLDINGS PLC","Equity","0.02","13.96","291,875.00","4,074,575.00","4,074,575.00","Industrials","BWFY550","GB00BWFY5505","New York Stock Exchange Inc."
"TCF","TCF FINANCIAL CORP","Equity","0.02","31.14","130,852.00","4,074,731.28","4,074,731.28","Financials","BK5FNZ5","US8723071036","NASDAQ"
"TECD","TECH DATA CORP","Equity","0.02","139.21","29,252.00","4,072,170.92","4,072,170.92","Information Technology","2879532","US8782371061","NASDAQ"
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.02","12.63","322,362.00","4,071,432.06","4,071,432.06","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"NOV","NATIONAL OILWELL VARCO INC","Equity","0.02","12.98","313,290.00","4,066,504.20","4,066,504.20","Energy","2624486","US6370711011","New York Stock Exchange Inc."
"TPR","TAPESTRY INC","Equity","0.02","17.05","236,185.00","4,026,954.25","4,026,954.25","Consumer Discretionary","BF09HX3","US8760301072","New York Stock Exchange Inc."
"FCN","FTI CONSULTING INC","Equity","0.02","133.16","30,210.00","4,022,763.60","4,022,763.60","Industrials","2351449","US3029411093","New York Stock Exchange Inc."
"ITT","ITT INC","Equity","0.02","55.45","72,451.00","4,017,407.95","4,017,407.95","Industrials","BZBY209","US45073V1089","New York Stock Exchange Inc."
"NYT","NEW YORK TIMES CLASS A","Equity","0.02","32.75","122,536.00","4,013,054.00","4,013,054.00","Communication","2632003","US6501111073","New York Stock Exchange Inc."
"APA","APACHE CORP","Equity","0.02","13.05","305,081.00","3,981,307.05","3,981,307.05","Energy","2043962","US0374111054","New York Stock Exchange Inc."
"IDA","IDACORP INC","Equity","0.02","94.26","42,209.00","3,978,620.34","3,978,620.34","Utilities","2296937","US4511071064","New York Stock Exchange Inc."
"CRUS","CIRRUS LOGIC INC","Equity","0.02","78.28","50,784.00","3,975,371.52","3,975,371.52","Information Technology","2197308","US1727551004","NASDAQ"
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.02","35.94","110,509.00","3,971,693.46","3,971,693.46","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.02","36.02","110,053.00","3,964,109.06","3,964,109.06","Consumer Discretionary","2510682","US5246601075","New York Stock Exchange Inc."
"USFD","US FOODS HOLDING CORP","Equity","0.02","22.37","176,782.00","3,954,613.34","3,954,613.34","Consumer Staples","BYVFC94","US9120081099","New York Stock Exchange Inc."
"CUBE","CUBESMART REIT","Equity","0.02","25.50","154,673.00","3,944,161.50","3,944,161.50","Real Estate","B6SW913","US2296631094","New York Stock Exchange Inc."
"NBL","NOBLE ENERGY INC","Equity","0.02","10.05","392,331.00","3,942,926.55","3,942,926.55","Energy","2640761","US6550441058","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.02","39.03","100,981.00","3,941,288.43","3,941,288.43","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"ALSN","ALLISON TRANSMISSION HOLDINGS INC","Equity","0.02","37.78","104,080.00","3,932,142.40","3,932,142.40","Industrials","B4PZ892","US01973R1014","New York Stock Exchange Inc."
"SMG","SCOTTS MIRACLE GRO","Equity","0.02","127.19","30,896.00","3,929,662.24","3,929,662.24","Materials","2781518","US8101861065","New York Stock Exchange Inc."
"CREE","CREE INC","Equity","0.02","46.25","84,902.00","3,926,717.50","3,926,717.50","Information Technology","2232351","US2254471012","NASDAQ"
"OC","OWENS CORNING","Equity","0.02","44.82","87,476.00","3,920,674.32","3,920,674.32","Industrials","B1FW7Q2","US6907421019","New York Stock Exchange Inc."
"IPGP","IPG PHOTONICS CORP","Equity","0.02","133.00","29,429.00","3,914,057.00","3,914,057.00","Information Technology","2698782","US44980X1090","NASDAQ"
"MRO","MARATHON OIL CORP","Equity","0.02","5.85","667,795.00","3,906,600.75","3,906,600.75","Energy","2910970","US5658491064","New York Stock Exchange Inc."
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","Equity","0.02","41.72","93,463.00","3,899,276.36","3,899,276.36","Real Estate","BC9ZHL9","US76169C1009","New York Stock Exchange Inc."
"UTHR","UNITED THERAPEUTICS CORP","Equity","0.02","107.97","36,036.00","3,890,806.92","3,890,806.92","Health Care","2430412","US91307C1027","NASDAQ"
"CW","CURTISS WRIGHT CORP","Equity","0.02","106.20","36,372.00","3,862,706.40","3,862,706.40","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"SEE","SEALED AIR CORP","Equity","0.02","29.65","129,989.00","3,854,173.85","3,854,173.85","Materials","2232793","US81211K1007","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.02","76.57","50,241.00","3,846,953.37","3,846,953.37","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"SMAR","SMARTSHEET INC CLASS A","Equity","0.02","53.10","72,267.00","3,837,377.70","3,837,377.70","Information Technology","BFZND98","US83200N1037","New York Stock Exchange Inc."
"GBT","GLOBAL BLOOD THERAPEUTICS INC","Equity","0.02","78.74","48,683.00","3,833,299.42","3,833,299.42","Health Care","BZ05388","US37890U1088","NASDAQ"
"NATI","NATIONAL INSTRUMENTS CORP","Equity","0.02","39.98","95,668.00","3,824,806.64","3,824,806.64","Information Technology","2645078","US6365181022","NASDAQ"
"SERV","SERVICEMASTER GLOBAL HOLDINGS INC","Equity","0.02","34.73","109,937.00","3,818,112.01","3,818,112.01","Consumer Discretionary","BNG8BF0","US81761R1095","New York Stock Exchange Inc."
"MANH","MANHATTAN ASSOCIATES INC","Equity","0.02","72.00","52,913.00","3,809,736.00","3,809,736.00","Information Technology","2239471","US5627501092","NASDAQ"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","Equity","0.02","87.00","43,748.00","3,806,076.00","3,806,076.00","Information Technology","BDTZZG7","US8086251076","New York Stock Exchange Inc."
"IPHI","INPHI CORP","Equity","0.02","101.00","37,609.00","3,798,509.00","3,798,509.00","Information Technology","B5TRVW5","US45772F1075","New York Stock Exchange Inc."
"KIM","KIMCO REALTY REIT CORP","Equity","0.02","11.19","338,865.00","3,791,899.35","3,791,899.35","Real Estate","2491594","US49446R1095","New York Stock Exchange Inc."
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Equity","0.02","39.08","96,684.00","3,778,410.72","3,778,410.72","Industrials","BF0LKD0","US4990491049","New York Stock Exchange Inc."
"LSTR","LANDSTAR SYSTEM INC","Equity","0.02","106.80","35,209.00","3,760,321.20","3,760,321.20","Industrials","2503994","US5150981018","NASDAQ"
"EQC","EQUITY COMMONWEALTH REIT","Equity","0.02","33.85","110,530.00","3,741,440.50","3,741,440.50","Real Estate","BPH3N63","US2946281027","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.02","73.84","50,561.00","3,733,424.24","3,733,424.24","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.02","54.53","68,355.00","3,727,398.15","3,727,398.15","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"FLO","FLOWERS FOODS INC","Equity","0.02","22.37","166,549.00","3,725,701.13","3,725,701.13","Consumer Staples","2744243","US3434981011","New York Stock Exchange Inc."
"PRI","PRIMERICA INC","Equity","0.02","105.86","35,098.00","3,715,474.28","3,715,474.28","Financials","B50K3X8","US74164M1080","New York Stock Exchange Inc."
"CUZ","COUSINS PROPERTIES REIT INC","Equity","0.02","31.08","119,220.00","3,705,357.60","3,705,357.60","Real Estate","BJP0MF6","US2227955026","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.02","16.43","225,332.00","3,702,204.76","3,702,204.76","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","0.02","75.24","49,151.00","3,698,121.24","3,698,121.24","Industrials","BDT5S35","US05464C1018","NASDAQ"
"LOGM","LOGMEIN INC","Equity","0.02","85.05","43,346.00","3,686,577.30","3,686,577.30","Information Technology","B600J15","US54142L1098","NASDAQ"
"ICUI","ICU MEDICAL INC","Equity","0.02","222.51","16,558.00","3,684,320.58","3,684,320.58","Health Care","2451918","US44930G1076","NASDAQ"
"SLAB","SILICON LABORATORIES INC","Equity","0.02","102.66","35,860.00","3,681,387.60","3,681,387.60","Information Technology","2568131","US8269191024","NASDAQ"
"TTEK","TETRA TECH INC","Equity","0.02","82.49","44,641.00","3,682,436.09","3,682,436.09","Industrials","2883890","US88162G1031","NASDAQ"
"FOX","FOX CORP CLASS B","Equity","0.02","27.95","131,342.00","3,671,008.90","3,671,008.90","Communication","BJJMGY5","US35137L2043","NASDAQ"
"LOPE","GRAND CANYON EDUCATION INC","Equity","0.02","88.26","41,469.00","3,660,053.94","3,660,053.94","Consumer Discretionary","B3F1XM1","US38526M1062","NASDAQ"
"BPOP","POPULAR INC","Equity","0.02","41.85","87,294.00","3,653,253.90","3,653,253.90","Financials","B86QM90","PR7331747001","NASDAQ"
"KMPR","KEMPER CORP","Equity","0.02","70.49","51,657.00","3,641,301.93","3,641,301.93","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"SRCL","STERICYCLE INC","Equity","0.02","51.25","70,769.00","3,626,911.25","3,626,911.25","Industrials","2860826","US8589121081","NASDAQ"
"RL","RALPH LAUREN CORP CLASS A","Equity","0.02","80.97","44,718.00","3,620,816.46","3,620,816.46","Consumer Discretionary","B4V9661","US7512121010","New York Stock Exchange Inc."
"TNDM","TANDEM DIABETES CARE INC","Equity","0.02","74.57","48,275.00","3,599,866.75","3,599,866.75","Health Care","BF3W461","US8753722037","NASDAQ"
"SWX","SOUTHWEST GAS HOLDINGS INC","Equity","0.02","79.94","44,994.00","3,596,820.36","3,596,820.36","Utilities","2831888","US8448951025","New York Stock Exchange Inc."
"THG","HANOVER INSURANCE GROUP INC","Equity","0.01","104.46","34,343.00","3,587,469.78","3,587,469.78","Financials","2020415","US4108671052","New York Stock Exchange Inc."
"OGS","ONE GAS INC","Equity","0.01","82.63","43,321.00","3,579,614.23","3,579,614.23","Utilities","BJ0KXV4","US68235P1084","New York Stock Exchange Inc."
"MTCH","MATCH GROUP INC","Equity","0.01","79.59","44,914.00","3,574,705.26","3,574,705.26","Communication","BYT5JW8","US57665R1068","NASDAQ"
"ZM","ZOOM VIDEO COMMUNICATIONS INC CLAS","Equity","0.01","146.48","24,344.00","3,565,909.12","3,565,909.12","Information Technology","BGSP7M9","US98980L1017","NASDAQ"
"HE","HAWAIIAN ELECTRIC INDUSTRIES INC","Equity","0.01","40.83","87,318.00","3,565,193.94","3,565,193.94","Utilities","2415204","US4198701009","New York Stock Exchange Inc."
"HELE","HELEN OF TROY LTD","Equity","0.01","161.73","21,991.00","3,556,604.43","3,556,604.43","Consumer Discretionary","2419530","BMG4388N1065","NASDAQ"
"DBX","DROPBOX INC CLASS A","Equity","0.01","20.98","169,608.00","3,558,375.84","3,558,375.84","Information Technology","BG0T321","US26210C1045","NASDAQ"
"DECK","DECKERS OUTDOOR CORP","Equity","0.01","155.58","22,835.00","3,552,669.30","3,552,669.30","Consumer Discretionary","2267278","US2435371073","New York Stock Exchange Inc."
"STOR","STORE CAPITAL CORP","Equity","0.01","20.06","176,457.00","3,539,727.42","3,539,727.42","Real Estate","BSKRKJ5","US8621211007","New York Stock Exchange Inc."
"ZS","ZSCALER INC","Equity","0.01","66.63","53,148.00","3,541,251.24","3,541,251.24","Information Technology","BZ00V34","US98980G1022","NASDAQ"
"AWI","ARMSTRONG WORLD INDUSTRIES INC","Equity","0.01","81.84","43,175.00","3,533,442.00","3,533,442.00","Industrials","B1FT462","US04247X1028","New York Stock Exchange Inc."
"MMS","MAXIMUS INC","Equity","0.01","68.80","51,282.00","3,528,201.60","3,528,201.60","Information Technology","2018669","US5779331041","New York Stock Exchange Inc."
"RETA","REATA PHARMACEUTICALS INC CLASS A","Equity","0.01","165.99","21,170.00","3,514,008.30","3,514,008.30","Health Care","BYY9FX8","US75615P1030","NASDAQ"
"GRUB","GRUBHUB INC","Equity","0.01","47.47","73,740.00","3,500,437.80","3,500,437.80","Consumer Discretionary","BKY7XF2","US4001101025","New York Stock Exchange Inc."
"PII","POLARIS INDUSTRIES INC","Equity","0.01","75.07","46,604.00","3,498,562.28","3,498,562.28","Consumer Discretionary","2692933","US7310681025","New York Stock Exchange Inc."
"BRKR","BRUKER CORP","Equity","0.01","39.81","87,909.00","3,499,657.29","3,499,657.29","Health Care","2616137","US1167941087","NASDAQ"
"HIW","HIGHWOODS PROPERTIES REIT INC","Equity","0.01","39.93","87,608.00","3,498,187.44","3,498,187.44","Real Estate","2420640","US4312841087","New York Stock Exchange Inc."
"MOS","MOSAIC","Equity","0.01","12.00","291,392.00","3,496,704.00","3,496,704.00","Materials","B3NPHP6","US61945C1036","New York Stock Exchange Inc."
"HR","HEALTHCARE REALTY TRUST REIT INC","Equity","0.01","30.23","115,502.00","3,491,625.46","3,491,625.46","Real Estate","2417921","US4219461047","New York Stock Exchange Inc."
"POR","PORTLAND GENERAL ELECTRIC","Equity","0.01","48.08","72,605.00","3,490,848.40","3,490,848.40","Utilities","B125XQ6","US7365088472","New York Stock Exchange Inc."
"BC","BRUNSWICK CORP","Equity","0.01","48.72","71,582.00","3,487,475.04","3,487,475.04","Consumer Discretionary","2149309","US1170431092","New York Stock Exchange Inc."
"ALK","ALASKA AIR GROUP INC","Equity","0.01","34.00","102,411.00","3,481,974.00","3,481,974.00","Industrials","2012605","US0116591092","New York Stock Exchange Inc."
"CVNA","CARVANA CLASS A","Equity","0.01","84.89","40,767.00","3,460,710.63","3,460,710.63","Consumer Discretionary","BYQHPG3","US1468691027","New York Stock Exchange Inc."
"JBL","JABIL INC","Equity","0.01","29.35","117,435.00","3,446,717.25","3,446,717.25","Information Technology","2471789","US4663131039","New York Stock Exchange Inc."
"AXTA","AXALTA COATING SYSTEMS LTD","Equity","0.01","19.80","173,945.00","3,444,111.00","3,444,111.00","Materials","BSFWCF5","BMG0750C1082","New York Stock Exchange Inc."
"SAM","BOSTON BEER INC CLASS A","Equity","0.01","466.58","7,355.00","3,431,695.90","3,431,695.90","Consumer Staples","2113393","US1005571070","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.01","59.93","56,702.00","3,398,150.86","3,398,150.86","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"SKX","SKECHERS USA INC CLASS A","Equity","0.01","30.26","111,717.00","3,380,556.42","3,380,556.42","Consumer Discretionary","2428042","US8305661055","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.01","37.15","90,510.00","3,362,446.50","3,362,446.50","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"LSI","LIFE STORAGE INC","Equity","0.01","88.70","37,793.00","3,352,239.10","3,352,239.10","Real Estate","BDCSFJ6","US53223X1072","New York Stock Exchange Inc."
"XLRN","ACCELERON PHARMA INC","Equity","0.01","92.92","36,100.00","3,354,412.00","3,354,412.00","Health Care","BDGTXQ8","US00434H1086","NASDAQ"
"BKH","BLACK HILLS CORP","Equity","0.01","65.68","50,756.00","3,333,654.08","3,333,654.08","Utilities","2101741","US0921131092","New York Stock Exchange Inc."
"STAG","STAG INDUSTRIAL REIT INC","Equity","0.01","26.98","123,450.00","3,330,681.00","3,330,681.00","Real Estate","B64BRQ5","US85254J1025","New York Stock Exchange Inc."
"LM","LEGG MASON INC","Equity","0.01","49.74","66,840.00","3,324,621.60","3,324,621.60","Financials","2510615","US5249011058","New York Stock Exchange Inc."
"JBGS","JBG SMITH PROPERTIES","Equity","0.01","34.57","95,894.00","3,315,055.58","3,315,055.58","Real Estate","BD3BX01","US46590V1008","New York Stock Exchange Inc."
"FLS","FLOWSERVE CORP","Equity","0.01","29.64","111,687.00","3,310,402.68","3,310,402.68","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.01","111.01","29,753.00","3,302,880.53","3,302,880.53","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"TW","TRADEWEB MARKETS INC CLASS A","Equity","0.01","53.45","61,624.00","3,293,802.80","3,293,802.80","Financials","BJXMVK2","US8926721064","NASDAQ"
"GPK","GRAPHIC PACKAGING HOLDING","Equity","0.01","13.70","240,178.00","3,290,438.60","3,290,438.60","Materials","B2Q8249","US3886891015","New York Stock Exchange Inc."
"EVBG","EVERBRIDGE INC","Equity","0.01","112.53","29,187.00","3,284,413.11","3,284,413.11","Information Technology","BYY5ZB4","US29978A1043","NASDAQ"
"PVH","PVH CORP","Equity","0.01","53.95","60,699.00","3,274,711.05","3,274,711.05","Consumer Discretionary","B3V9F12","US6936561009","New York Stock Exchange Inc."
"CRI","CARTERS INC","Equity","0.01","82.83","39,033.00","3,233,103.39","3,233,103.39","Consumer Discretionary","2980939","US1462291097","New York Stock Exchange Inc."
"DISCA","DISCOVERY INC SERIES A","Equity","0.01","24.73","130,669.00","3,231,444.37","3,231,444.37","Communication","B3D7K31","US25470F1049","NASDAQ"
"NWSA","NEWS CORP CLASS A","Equity","0.01","10.50","307,018.00","3,223,689.00","3,223,689.00","Communication","BBGVT40","US65249B1098","NASDAQ"
"THO","THOR INDUSTRIES INC","Equity","0.01","70.29","45,827.00","3,221,179.83","3,221,179.83","Consumer Discretionary","2889876","US8851601018","New York Stock Exchange Inc."
"DLB","DOLBY LABORATORIES INC CLASS A","Equity","0.01","60.94","52,772.00","3,215,925.68","3,215,925.68","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"CHDN","CHURCHILL DOWNS INC","Equity","0.01","108.63","29,570.00","3,212,189.10","3,212,189.10","Consumer Discretionary","2194105","US1714841087","NASDAQ"
"IOVA","IOVANCE BIOTHERAPEUTICS INC","Equity","0.01","33.35","96,248.00","3,209,870.80","3,209,870.80","Health Care","BF0DMK7","US4622601007","NASDAQ"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.01","29.36","109,330.00","3,209,928.80","3,209,928.80","Financials","2266026","US32020R1095","NASDAQ"
"EME","EMCOR GROUP INC","Equity","0.01","69.84","45,929.00","3,207,681.36","3,207,681.36","Industrials","2474164","US29084Q1004","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.01","18.04","177,290.00","3,198,311.60","3,198,311.60","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"FTI","TECHNIPFMC PLC","Equity","0.01","9.27","344,958.00","3,197,760.66","3,197,760.66","Energy","BDSFG98","GB00BDSFG982","New York Stock Exchange Inc."
"PCTY","PAYLOCITY HOLDING CORP","Equity","0.01","112.75","28,285.00","3,189,133.75","3,189,133.75","Information Technology","BKM4N88","US70438V1061","NASDAQ"
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.01","132.45","24,013.00","3,180,521.85","3,180,521.85","Information Technology","2572381","US12709P1030","NASDAQ"
"LFUS","LITTELFUSE INC","Equity","0.01","156.33","20,327.00","3,177,719.91","3,177,719.91","Information Technology","2531832","US5370081045","NASDAQ"
"SR","SPIRE INC","Equity","0.01","75.18","42,219.00","3,174,024.42","3,174,024.42","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"WEN","WENDYS","Equity","0.01","20.44","155,018.00","3,168,567.92","3,168,567.92","Consumer Discretionary","B3NXMJ9","US95058W1009","NASDAQ"
"QTS","QTS REALTY REIT INC TRUST CLASS A","Equity","0.01","65.25","48,445.00","3,161,036.25","3,161,036.25","Real Estate","BDSV8H8","US74736A1034","New York Stock Exchange Inc."
"NFG","NATIONAL FUEL GAS","Equity","0.01","43.60","72,488.00","3,160,476.80","3,160,476.80","Utilities","2626103","US6361801011","New York Stock Exchange Inc."
"ENPH","ENPHASE ENERGY INC","Equity","0.01","48.98","64,294.00","3,149,441.59","3,149,441.59","Information Technology","B65SQW4","US29355A1079","NASDAQ"
"MNTA","MOMENTA PHARMACEUTICALS INC","Equity","0.01","33.23","94,429.00","3,137,875.67","3,137,875.67","Health Care","B018VB0","US60877T1007","NASDAQ"
"TRNO","TERRENO REALTY REIT CORP","Equity","0.01","56.10","55,897.00","3,135,821.70","3,135,821.70","Real Estate","B3N4753","US88146M1018","New York Stock Exchange Inc."
"PFGC","PERFORMANCE FOOD GROUP","Equity","0.01","30.88","101,224.00","3,125,797.12","3,125,797.12","Consumer Staples","BYVYD43","US71377A1034","New York Stock Exchange Inc."
"JCOM","J2 GLOBAL INC","Equity","0.01","83.05","37,572.00","3,120,354.60","3,120,354.60","Information Technology","B75DGJ3","US48123V1026","NASDAQ"
"HLF","HERBALIFE NUTRITION LTD","Equity","0.01","38.18","81,267.00","3,102,774.06","3,102,774.06","Consumer Staples","B0539H3","KYG4412G1010","New York Stock Exchange Inc."
"QTWO","Q2 HOLDINGS INC","Equity","0.01","81.20","38,199.00","3,101,758.80","3,101,758.80","Information Technology","BKM4KV0","US74736L1098","New York Stock Exchange Inc."
"HPP","HUDSON PACIFIC PROPERTIES REIT INC","Equity","0.01","24.91","123,524.00","3,076,982.84","3,076,982.84","Real Estate","B64B9P8","US4440971095","New York Stock Exchange Inc."
"EXPO","EXPONENT INC","Equity","0.01","71.10","43,268.00","3,076,354.80","3,076,354.80","Industrials","2330318","US30214U1025","NASDAQ"
"SITE","SITEONE LANDSCAPE SUPPLY INC","Equity","0.01","96.74","31,629.00","3,059,789.46","3,059,789.46","Industrials","BYQ7X81","US82982L1035","New York Stock Exchange Inc."
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Equity","0.01","36.53","83,678.00","3,056,757.34","3,056,757.34","Health Care","BYQBFJ8","US04280A1007","NASDAQ"
"HBI","HANESBRANDS INC","Equity","0.01","10.39","293,888.00","3,053,496.32","3,053,496.32","Consumer Discretionary","B1BJSL9","US4103451021","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.01","104.84","29,126.00","3,053,569.84","3,053,569.84","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"HEI","HEICO CORP","Equity","0.01","90.98","33,502.00","3,048,011.96","3,048,011.96","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"XRX","XEROX HOLDINGS CORP","Equity","0.01","19.29","157,899.00","3,045,871.71","3,045,871.71","Information Technology","BJJD5G3","US98421M1062","New York Stock Exchange Inc."
"BLD","TOPBUILD CORP","Equity","0.01","101.24","29,973.00","3,034,466.52","3,034,466.52","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"WH","WYNDHAM HOTELS RESORTS INC","Equity","0.01","40.47","74,931.00","3,032,457.57","3,032,457.57","Consumer Discretionary","BF108P4","US98311A1051","New York Stock Exchange Inc."
"JEF","JEFFERIES FINANCIAL GROUP INC","Equity","0.01","14.32","211,788.00","3,032,804.16","3,032,804.16","Financials","BG0Q4Z2","US47233W1099","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.01","184.03","16,479.00","3,032,630.37","3,032,630.37","Financials","2311711","US29530P1021","NASDAQ"
"HOG","HARLEY DAVIDSON INC","Equity","0.01","24.36","124,396.00","3,030,286.56","3,030,286.56","Consumer Discretionary","2411053","US4128221086","New York Stock Exchange Inc."
"HUN","HUNTSMAN CORP","Equity","0.01","17.47","173,261.00","3,026,869.67","3,026,869.67","Materials","B0650B9","US4470111075","New York Stock Exchange Inc."
"LHCG","LHC GROUP INC","Equity","0.01","130.00","23,287.00","3,027,310.00","3,027,310.00","Health Care","B06DT50","US50187A1079","NASDAQ"
"STWD","STARWOOD PROPERTY TRUST REIT INC","Equity","0.01","13.35","226,606.00","3,025,190.10","3,025,190.10","Financials","B3PQ520","US85571B1052","New York Stock Exchange Inc."
"SNX","SYNNEX CORP","Equity","0.01","88.11","34,115.00","3,005,872.65","3,005,872.65","Information Technology","2002554","US87162W1009","New York Stock Exchange Inc."
"MSA","MSA SAFETY INC","Equity","0.01","105.67","28,408.00","3,001,873.36","3,001,873.36","Industrials","BKM4S16","US5534981064","New York Stock Exchange Inc."
"SLM","SLM CORP","Equity","0.01","8.53","350,957.00","2,993,663.21","2,993,663.21","Financials","2101967","US78442P1066","NASDAQ"
